GEO_ID,P001001,P001003,P001004,P001005,P001006,P001007,P001008,P001009
1000000US500019603002031,72,71,0,0,0,0,0,1
1000000US500019603002032,129,129,0,0,0,0,0,0
1000000US500019603002033,0,0,0,0,0,0,0,0
1000000US500019603002034,0,0,0,0,0,0,0,0
1000000US500019603002035,184,174,0,0,0,0,0,10
1000000US500019603002036,55,55,0,0,0,0,0,0
1000000US500019603002037,19,19,0,0,0,0,0,0
1000000US500019603002038,0,0,0,0,0,0,0,0
1000000US500019603002039,0,0,0,0,0,0,0,0
1000000US500019604001000,9,9,0,0,0,0,0,0
1000000US500019604001001,4,4,0,0,0,0,0,0
1000000US500019604001002,4,4,0,0,0,0,0,0
1000000US500019604001003,35,35,0,0,0,0,0,0
1000000US500019604001004,0,0,0,0,0,0,0,0
1000000US500019604001005,11,8,0,0,0,0,0,3
1000000US500019604001006,12,12,0,0,0,0,0,0
1000000US500019604001007,6,6,0,0,0,0,0,0
1000000US500019604001008,0,0,0,0,0,0,0,0
1000000US500019604001009,0,0,0,0,0,0,0,0
1000000US500019604001010,72,61,2,0,0,0,9,0
1000000US500019604001011,0,0,0,0,0,0,0,0
1000000US500019604001012,0,0,0,0,0,0,0,0
1000000US500019604001013,2,2,0,0,0,0,0,0
1000000US500019604001014,0,0,0,0,0,0,0,0
1000000US500019604001015,0,0,0,0,0,0,0,0
1000000US500019604001016,11,11,0,0,0,0,0,0
1000000US500019604001017,4,3,0,0,1,0,0,0
1000000US500019604001018,0,0,0,0,0,0,0,0
1000000US500019604001019,6,6,0,0,0,0,0,0
1000000US500019604001020,7,7,0,0,0,0,0,0
1000000US500019604001021,14,14,0,0,0,0,0,0
1000000US500019604001022,0,0,0,0,0,0,0,0
1000000US500019604001023,0,0,0,0,0,0,0,0
1000000US500019604001024,0,0,0,0,0,0,0,0
1000000US500019604001025,0,0,0,0,0,0,0,0
1000000US500019604001026,0,0,0,0,0,0,0,0
1000000US500019604001027,0,0,0,0,0,0,0,0
1000000US500019604001028,10,7,0,0,0,0,0,3
1000000US500019604001029,50,50,0,0,0,0,0,0
1000000US500019604001030,6,6,0,0,0,0,0,0
1000000US500019604001031,0,0,0,0,0,0,0,0
1000000US500019604001032,0,0,0,0,0,0,0,0
1000000US500019604001033,0,0,0,0,0,0,0,0
1000000US500019604001034,13,13,0,0,0,0,0,0
1000000US500019604001035,127,124,1,0,0,0,2,0
1000000US500019604001036,0,0,0,0,0,0,0,0
1000000US500019604001037,0,0,0,0,0,0,0,0
1000000US500019604001038,0,0,0,0,0,0,0,0
1000000US500019604001039,0,0,0,0,0,0,0,0
1000000US500019604001040,39,39,0,0,0,0,0,0
1000000US500019604001041,0,0,0,0,0,0,0,0
1000000US500019604001042,0,0,0,0,0,0,0,0
1000000US500019604001043,0,0,0,0,0,0,0,0
1000000US500019604001044,147,147,0,0,0,0,0,0
1000000US500019604001045,0,0,0,0,0,0,0,0
1000000US500019604001046,0,0,0,0,0,0,0,0
1000000US500019604001047,270,268,0,0,0,0,0,2
1000000US500019604001048,0,0,0,0,0,0,0,0
1000000US500019604001049,83,83,0,0,0,0,0,0
1000000US500019604001050,2,2,0,0,0,0,0,0
1000000US500019604001051,14,14,0,0,0,0,0,0
1000000US500019604001052,12,12,0,0,0,0,0,0
1000000US500019604001053,0,0,0,0,0,0,0,0
1000000US500019604001054,62,58,0,0,0,0,0,4
1000000US500019604001055,2,2,0,0,0,0,0,0
1000000US500019604001056,16,16,0,0,0,0,0,0
1000000US500019604001057,44,44,0,0,0,0,0,0
1000000US500019604001058,0,0,0,0,0,0,0,0
1000000US500019604001059,2,2,0,0,0,0,0,0
1000000US500019604001060,0,0,0,0,0,0,0,0
1000000US500019604001061,18,18,0,0,0,0,0,0
1000000US500019604001062,15,15,0,0,0,0,0,0
1000000US500019604001063,54,54,0,0,0,0,0,0
1000000US500019604001064,0,0,0,0,0,0,0,0
1000000US500019604001065,0,0,0,0,0,0,0,0
1000000US500019604001066,0,0,0,0,0,0,0,0
1000000US500019604001067,5,5,0,0,0,0,0,0
1000000US500019604001068,10,7,0,0,0,0,0,3
1000000US500019604001069,65,64,0,0,0,0,1,0
1000000US500019604001070,0,0,0,0,0,0,0,0
1000000US500019604001071,0,0,0,0,0,0,0,0
1000000US500019604001072,0,0,0,0,0,0,0,0
1000000US500019604001073,5,5,0,0,0,0,0,0
1000000US500019604001074,18,18,0,0,0,0,0,0
1000000US500019604001075,16,16,0,0,0,0,0,0
1000000US500019604001076,0,0,0,0,0,0,0,0
1000000US500019604001077,63,62,0,1,0,0,0,0
1000000US500019604001078,0,0,0,0,0,0,0,0
1000000US500019604001079,0,0,0,0,0,0,0,0
1000000US500019604001080,75,75,0,0,0,0,0,0
1000000US500019604001081,4,4,0,0,0,0,0,0
1000000US500019604001082,0,0,0,0,0,0,0,0
1000000US500019604001083,10,10,0,0,0,0,0,0
1000000US500019604001084,0,0,0,0,0,0,0,0
1000000US500019604001085,6,6,0,0,0,0,0,0
